PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
993.0	245	7.0	5.6	91	5.8	170	4	6.3	8.0	280.7	296.7	281.7
975.0	393	11.4	7.1	74	6.5	203	14	9.2	12.5	286.6	305.2	287.8
950.0	610	10.6	6.2	74	6.3	211	14	8.3	11.7	287.9	306.0	289.0
925.0	832	9.0	4.2	71	5.6	213	12	6.6	10.0	288.5	304.7	289.5
900.0	1058	7.8	-0.7	54	4.0	218	12	3.9	8.5	289.5	301.4	290.2
875.0	1289	6.5	-4.2	46	3.2	226	12	2.0	7.1	290.6	300.2	291.1
850.0	1527	6.0	-6.0	42	2.9	244	12	1.0	6.5	292.4	301.1	292.9
825.0	1771	5.3	-4.8	48	3.2	264	12	0.9	5.8	294.2	304.0	294.7
800.0	2022	3.7	-2.7	63	3.9	277	14	0.8	4.3	295.0	306.9	295.7
775.0	2278	1.5	-0.9	84	4.7	278	15	0.4	2.3	295.4	309.4	296.2
750.0	2542	-0.7	-2.1	90	4.4	269	17	-1.3	0.0	295.8	309.0	296.5
725.0	2812	-2.3	-4.2	86	3.9	262	19	-3.1	-1.6	296.9	308.7	297.6
700.0	3090	-3.5	-7.0	76	3.2	258	22	-4.9	-3.0	298.5	308.5	299.1
675.0	3377	-4.6	-10.5	63	2.6	256	25	-6.8	-4.2	300.4	308.4	300.8
650.0	3673	-6.1	-14.2	52	2.0	255	27	-8.9	-5.8	302.0	308.3	302.4
625.0	3978	-7.7	-17.5	45	1.6	254	30	-10.8	-7.5	303.5	308.6	303.8
600.0	4295	-9.5	-19.9	42	1.3	253	32	-12.5	-9.3	305.0	309.4	305.2
575.0	4622	-11.6	-21.4	44	1.2	254	34	-14.3	-11.4	306.3	310.4	306.5
550.0	4962	-13.7	-23.6	42	1.0	255	36	-16.3	-13.5	307.7	311.2	307.9
525.0	5313	-15.9	-26.6	39	0.8	256	39	-18.4	-15.8	309.2	312.1	309.3
500.0	5679	-18.1	-27.9	42	0.8	258	44	-20.3	-18.0	310.8	313.5	310.9
475.0	6060	-20.5	-28.7	47	0.8	259	49	-22.3	-20.4	312.4	315.1	312.6
450.0	6457	-23.0	-29.0	57	0.8	259	54	-24.2	-22.8	314.2	317.0	314.4
425.0	6875	-25.3	-30.2	63	0.7	258	60	-26.3	-25.2	316.4	319.1	316.6
400.0	7312	-27.8	-32.1	66	0.6	256	65	-28.6	-27.7	318.6	321.0	318.8
375.0	7772	-31.1	-34.7	70	0.5	254	69	-31.7	-31.0	320.3	322.3	320.4
350.0	8257	-34.9	-38.1	72	0.4	254	71	-35.4	-34.8	321.5	323.0	321.6
325.0	8769	-38.9	-42.1	71	0.3	253	74	-39.3	-38.9	322.8	324.0	322.9
300.0	9313	-43.0	-45.9	73	0.2	253	79	-43.4	-43.0	324.5	325.3	324.5
275.0	9894	-47.5	-49.6	79	0.1	252	84	-47.8	-47.5	326.1	326.7	326.2
250.0	10515	-52.6	-54.0	84	0.1	253	89	-52.8	-52.6	327.6	328.0	327.6
225.0	11189	-56.5	-61.6	52	0.0	255	90	-56.7	-56.5	331.7	331.9	331.7
200.0	11931	-58.6	-69.2	24	0.0	255	87	-59.0	-58.6	339.7	339.7	339.7
175.0	12768	-59.1	-75.3	10	0.0	254	86	-59.6	-59.1	351.9	352.0	351.9
150.0	13733	-59.2	-80.3	4	0.0	253	86	-59.8	-59.2	367.7	367.7	367.7
125.0	14868	-61.8	-83.2	4	0.0	255	83	-62.4	-61.8	382.5	382.5	382.5
100.0	16237	-64.9	-84.8	4	0.0	260	72	-65.4	-64.9	401.8	401.8	401.8
