PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	TWTB	TVRT	THTA	THTE	THTV
943.0	673	-4.9	-7.8	80	2.3	318	1	-5.8	-4.5	272.8	279.2	273.2
925.0	829	-0.6	-5.7	68	2.7	97	5	-2.4	-0.2	278.6	286.4	279.1
900.0	1048	-0.3	-5.9	66	2.7	102	5	-2.3	0.1	281.1	289.1	281.6
875.0	1274	0.5	-6.7	58	2.6	99	5	-2.1	0.9	284.3	292.0	284.7
850.0	1506	1.1	-8.0	50	2.5	102	2	-2.2	1.5	287.3	294.7	287.7
825.0	1746	1.2	-9.9	43	2.2	299	0	-2.8	1.6	289.9	296.5	290.2
800.0	1994	0.7	-12.4	36	1.9	293	4	-3.8	1.0	291.8	297.6	292.1
775.0	2248	-0.4	-14.4	34	1.6	290	7	-4.9	-0.1	293.3	298.5	293.6
750.0	2509	-1.8	-15.5	34	1.5	289	10	-6.1	-1.6	294.5	299.4	294.8
725.0	2778	-3.7	-16.2	37	1.5	293	12	-7.5	-3.5	295.3	300.1	295.6
700.0	3053	-5.9	-15.9	45	1.6	298	15	-8.9	-5.6	295.9	300.9	296.2
675.0	3337	-8.1	-14.7	58	1.8	300	18	-10.2	-7.8	296.5	302.3	296.9
650.0	3629	-10.3	-14.9	69	1.9	295	20	-11.7	-10.0	297.3	303.2	297.6
625.0	3929	-12.7	-15.9	77	1.8	291	21	-13.7	-12.4	297.8	303.5	298.1
600.0	4239	-15.4	-18.0	80	1.5	288	22	-16.1	-15.2	298.2	303.2	298.5
575.0	4559	-18.2	-20.6	81	1.3	288	23	-18.8	-18.0	298.6	302.8	298.8
550.0	4888	-21.1	-23.5	81	1.1	289	23	-21.7	-21.0	298.9	302.3	299.1
525.0	5230	-24.0	-26.4	80	0.8	289	24	-24.5	-23.8	299.5	302.3	299.7
500.0	5583	-27.0	-29.7	77	0.7	287	26	-27.5	-26.9	300.0	302.3	300.2
475.0	5950	-30.0	-33.1	74	0.5	284	28	-30.4	-29.9	300.8	302.5	300.8
450.0	6334	-32.8	-37.2	64	0.3	282	33	-33.4	-32.8	301.8	303.1	301.9
425.0	6733	-35.5	-42.4	49	0.2	283	40	-36.3	-35.5	303.4	304.1	303.4
400.0	7152	-38.1	-48.5	32	0.1	286	50	-39.0	-38.1	305.3	305.8	305.3
375.0	7593	-40.8	-51.3	31	0.1	287	57	-41.6	-40.8	307.4	307.7	307.4
350.0	8059	-43.7	-53.3	33	0.1	290	62	-44.4	-43.7	309.6	309.9	309.6
325.0	8553	-46.5	-56.1	32	0.1	295	67	-47.1	-46.5	312.4	312.7	312.4
300.0	9081	-49.4	-58.9	31	0.0	298	73	-49.9	-49.4	315.5	315.7	315.5
275.0	9646	-52.5	-61.6	32	0.0	299	73	-53.0	-52.5	318.9	319.1	318.9
250.0	10258	-55.0	-64.8	28	0.0	298	64	-55.4	-55.0	324.0	324.1	324.0
225.0	10928	-56.3	-68.1	21	0.0	293	53	-56.7	-56.3	332.0	332.0	332.0
200.0	11674	-56.6	-73.1	10	0.0	286	43	-57.1	-56.6	342.8	342.9	342.8
175.0	12520	-56.5	-80.3	3	0.0	283	38	-57.1	-56.5	356.4	356.4	356.4
150.0	13499	-56.0	-82.1	2	0.0	292	31	-56.8	-56.0	373.1	373.1	373.1
125.0	14656	-56.3	-82.3	2	0.0	292	25	-57.2	-56.3	392.6	392.6	392.6
100.0	16069	-57.4	-84.9	1	0.0	284	22	-58.3	-57.4	416.3	416.3	416.3
